Student ID,First name,Last name,Gender,Date of birth,Classname,Country
556259,Bryon,OHara,Male,29/09/1985,5203003,Canada
589080,Kaci,OConner,Male,10/09/1981,5203004,Chile
532878,Richie,Goodwin,Female,04/01/1986,5203002,Montenegro
529483,Nathan,Renner,Female,18/12/1983,5203002,Nigeria
510140,Modesta,Schmidt,Female,09/04/1984,5203002,Poland
549937,Ryley,Klocko,Female,13/02/1987,5203003,Uzbekistan
541943,Rosalind,Veum,Male,21/08/1981,5203001,Zambia
572951,Carrie,Jacobs,Female,24/08/1984,5203002,Mexico
519362,Wilford,Grimes,Female,23/02/1983,5203001,Mexico
582891,Josefina,Smitham,Male,06/03/1983,5203004,Bahrain
578645,Stone,Reilly,Male,27/05/1985,5203003,Monaco
557169,Octavia,Wintheiser,Female,07/07/1982,5203003,Panama
579326,Eda,Dickinson,Female,07/03/1981,5203004,India
575667,Ericka,Grant,Female,01/10/1985,5203001,Mexico
567039,America,Tromp,Female,27/11/1984,5203002,Panama
560846,Kaley,Keebler,Male,31/07/1981,5203003,Nigeria
521006,Ellis,Gutkowski,Male,19/10/1980,5203004,Zambia
582798,Kari,Ankunding,Female,04/09/1981,5203002,Poland
577921,Alda,Purdy,Female,23/03/1983,5203002,Azerbaijan
506159,Maiya,Haley,Male,21/09/1985,5203003,Indonesia
526195,Stone,Reilly,Female,04/07/1987,5203001,Greenland
538420,Ruth,Raynor,Male,07/12/1980,5203001,Singapore
566272,Sonia,Tremblay,Female,06/10/1981,5203002,Chile
508710,Carlo,Herman,Male,03/06/1985,5203001,Greenland
562278,Malinda,Stokes,Male,05/04/1985,5203002,Montenegro
558022,Brenna,Rempel,Male,20/09/1984,5203001,Zambia
579605,Effie,Buckridge,Male,10/10/1986,5203001,Monaco
519497,Jaydon,Pagac,Female,21/08/1984,5203002,India
502257,Jermey,Champlin,Female,19/01/1988,5203003,Bahrain
509812,Ruthie,Block,Female,25/05/1985,5203004,Panama
509651,Edwin,Durgan,Female,29/11/1981,5203004,Cuba
567160,Everett,Johns,Male,04/01/1983,5203004,Austria
530502,Germaine,Gulgowski,Male,23/11/1985,5203001,India
553884,Kiley,Marquardt,Female,02/07/1985,5203001,Austria
596487,Rene,Kuvalis,Male,27/12/1984,5203001,Zambia
549096,Mylene,Feil,Male,28/12/1985,5203004,Eritrea
560810,Landen,Heidenreich,Male,18/09/1980,5203002,Zambia
556486,Donato,Gerhold,Male,12/02/1984,5203004,Mexico
558446,Felicia,Lehner,Male,10/09/1981,5203004,Canada
595614,Alexys,Homenick,Male,16/12/1980,5203003,Poland
588871,Delphine,Sauer,Male,05/11/1986,5203002,Cuba
526855,Rey,Leannon,Female,23/09/1980,5203001,Canada
536501,Deja,Bruen,Male,29/09/1980,5203003,Serbia
